timestamp,open,high,low,close,volume
2026-04-17T00:00:00+00:00,4798.74,4861.81,4798.09,4812.5,276428.0
2026-04-18T00:00:00+00:00,4816.0,4824.87,4773.0,4773.0,285302.0
2026-04-19T00:00:00+00:00,4772.6,4793.02,4719.6,4732.49,368259.0
2026-04-20T00:00:00+00:00,4731.78,4807.81,4725.21,4797.94,1273208.0
2026-04-21T00:00:00+00:00,4801.42,4805.03,4655.3,4724.44,1573975.0
2026-04-22T00:00:00+00:00,4726.95,4755.64,4705.82,4708.05,1326015.0
2026-04-23T00:00:00+00:00,4706.02,4729.59,4653.41,4685.97,1967052.0
2026-04-24T00:00:00+00:00,4686.48,4718.74,4647.49,4687.88,2242355.0
2026-04-25T00:00:00+00:00,4687.9,4697.99,4687.08,4687.08,194009.0
2026-04-26T00:00:00+00:00,4686.0,4707.31,4667.0,4671.95,245646.0
2026-04-27T00:00:00+00:00,4670.98,4710.74,4654.54,4683.0,1386181.0
2026-04-28T00:00:00+00:00,4683.45,4689.11,4550.0,4587.97,2761188.0
2026-04-29T00:00:00+00:00,4589.41,4601.86,4514.71,4556.99,3761107.0
2026-04-30T00:00:00+00:00,4558.11,4634.83,4539.41,4613.18,3810228.0
2026-05-01T00:00:00+00:00,4611.92,4645.68,4558.31,4599.8,4993975.0
2026-05-02T00:00:00+00:00,4600.18,4601.84,4594.16,4595.82,370103.0
2026-05-03T00:00:00+00:00,4597.39,4630.12,4594.92,4603.05,440270.0
2026-05-04T00:00:00+00:00,4602.0,4608.79,4501.49,4515.61,3501222.0
2026-05-05T00:00:00+00:00,4516.66,4584.03,4511.5,4582.54,3460616.0
2026-05-06T00:00:00+00:00,4582.57,4707.65,4577.53,4683.0,4562668.0
2026-05-07T00:00:00+00:00,4682.57,4747.55,4670.27,4693.69,8203184.0
2026-05-08T00:00:00+00:00,4694.15,4733.61,4685.2,4698.21,8854320.0
2026-05-09T00:00:00+00:00,4698.21,4709.02,4695.57,4706.07,848835.0
2026-05-10T00:00:00+00:00,4706.54,4716.55,4672.67,4682.73,1093752.0
2026-05-11T00:00:00+00:00,4682.64,4753.23,4643.42,4751.69,10721310.0
2026-05-12T00:00:00+00:00,4750.9,4757.0,4638.45,4708.74,13570697.0
2026-05-13T00:00:00+00:00,4708.84,4717.34,4664.51,4687.1,11305185.0
2026-05-14T00:00:00+00:00,4687.06,4705.6,4642.38,4649.04,11504288.0
2026-05-15T00:00:00+00:00,4648.71,4653.74,4521.06,4543.87,16447366.0
2026-05-16T00:00:00+00:00,4543.48,4546.14,4524.52,4541.37,1642770.0
2026-05-17T00:00:00+00:00,4542.42,4554.16,4528.65,4536.89,1320616.0
2026-05-18T00:00:00+00:00,4537.94,4585.16,4481.44,4579.01,13278322.0
2026-05-19T00:00:00+00:00,4578.98,4585.36,4478.0,4496.57,14949074.0
2026-05-20T00:00:00+00:00,4495.86,4552.15,4466.77,4542.86,17373884.0
