timestamp,open,high,low,close,volume
2026-07-15T10:08:00+00:00,4035.6,4035.63,4033.55,4033.6,58029.0
2026-07-15T10:09:00+00:00,4033.61,4034.0,4033.45,4033.91,38623.0
2026-07-15T10:10:00+00:00,4034.06,4034.51,4034.06,4034.4,24612.0
2026-07-15T10:11:00+00:00,4034.4,4034.4,4034.0,4034.22,13146.0
2026-07-15T10:12:00+00:00,4034.22,4035.54,4034.2,4035.54,9975.0
2026-07-15T10:13:00+00:00,4035.49,4037.15,4035.41,4036.7,26529.0
2026-07-15T10:14:00+00:00,4036.7,4039.43,4036.66,4037.92,228191.0
2026-07-15T10:15:00+00:00,4037.88,4037.88,4036.37,4036.84,79394.0
2026-07-15T10:16:00+00:00,4037.03,4037.1,4036.0,4036.06,29691.0
2026-07-15T10:17:00+00:00,4036.09,4037.33,4036.09,4037.16,129528.0
2026-07-15T10:18:00+00:00,4037.23,4037.39,4036.84,4037.31,75716.0
2026-07-15T10:19:00+00:00,4037.34,4037.59,4035.92,4036.0,43578.0
2026-07-15T10:20:00+00:00,4036.0,4038.37,4035.93,4038.18,36432.0
2026-07-15T10:21:00+00:00,4038.18,4038.83,4038.13,4038.7,59193.0
2026-07-15T10:22:00+00:00,4038.73,4038.78,4038.06,4038.29,11209.0
2026-07-15T10:23:00+00:00,4038.29,4038.36,4034.04,4034.38,50653.0
2026-07-15T10:24:00+00:00,4034.38,4035.0,4033.13,4033.13,28113.0
2026-07-15T10:25:00+00:00,4033.18,4033.73,4031.38,4031.49,104187.0
2026-07-15T10:26:00+00:00,4031.43,4032.18,4031.11,4031.92,71091.0
2026-07-15T10:27:00+00:00,4031.91,4032.21,4031.72,4032.15,40804.0
2026-07-15T10:28:00+00:00,4032.19,4032.25,4031.1,4032.14,38396.0
2026-07-15T10:29:00+00:00,4032.14,4033.36,4032.07,4033.28,52899.0
2026-07-15T10:30:00+00:00,4033.27,4033.36,4032.82,4032.83,21466.0
2026-07-15T10:31:00+00:00,4032.89,4033.96,4032.89,4033.6,36954.0
2026-07-15T10:32:00+00:00,4033.57,4034.77,4033.57,4034.71,34177.0
2026-07-15T10:33:00+00:00,4034.71,4035.01,4034.29,4035.01,6667.0
2026-07-15T10:34:00+00:00,4035.01,4035.23,4034.73,4034.73,26678.0
